,IC objective only_IC_PBP
254,-1.334894140166455
255,-0.8980968508381123
256,-0.7259012286587495
257,-1.6808076728656731
258,-1.1804414458333314
259,-1.3937569027875756
260,-0.9168263034568241
261,-1.3964540473128018
262,-1.3765527850075443
263,-1.2937270487772425
264,-1.2149882140805184
265,-1.9453083237131972
266,-1.6640144921089586
267,-1.4099814604844156
268,-3.2036996047650312
269,-1.629953048470464
270,-1.090757523884405
271,-0.9734320071486839
272,-0.9842036063704435
273,-0.8616587194868629
274,-1.540570397516428
275,-1.873228627916952
276,-1.6672876583406344
277,-1.5626835215007326
278,-0.5822888489033712
279,-1.3383486950129684
280,-1.739880892871433
281,-1.0503811818763766
282,-1.0794635464252251
283,-1.0626551963398723
284,-0.883686180097787
285,-0.9930427610845758
286,-1.1793103025129852
287,-1.0006314956265638
288,-1.6055069376916935
289,-1.3669418635555097
290,-1.0666905057055862
291,-1.9440740988305867
292,-1.127581564277587
293,-1.1769706602810515
294,-1.1621786589689724
295,-1.689849167137244
296,-0.9678159264830132
297,-1.5908024602006834
298,-1.255398100524573
299,-1.7042210061831817
300,-0.8136906430013179
301,-1.40551439224237
302,-1.6529625435969033
303,-1.3934821936734592
304,-2.5701767081518936
305,-2.1428131144233378
306,-1.7794103217889783
307,-0.9333440833247061
308,-1.0491741405979371
309,-1.5765195129821736
310,-1.187328428026123
311,-0.6356067436640696
312,-1.944929000088955
313,-1.0510987458167658
314,-1.088606654865916
315,-1.6112104677181371
316,-0.5008373559916434
317,-1.5481651714268092
318,-2.45624619424289
319,-1.0831640996737404
320,-1.1251956422424079
321,-1.4132418624910372
322,-1.3478280993506642
323,-1.8794872844057002
324,-0.9245887160215364
325,-0.42619303655833773
326,-2.4226802717680633
327,-1.9544962959776422
328,-1.008854277320048
329,-1.3243812754181556
330,-0.6371455790728163
331,-0.603843818779125
332,-1.8663980496489345
333,-1.5596655169577942
334,-1.157855720526296
335,-1.1235984646808241
336,-1.1688678081671935
337,-1.5061143820592708
338,-1.9672632681909998
339,-2.24709987646642
340,-1.9565091437031317
341,-1.078770612078658
342,-1.6770274935949643
343,-1.6161305445771248
344,-1.836655748203631
345,-2.106859738065096
346,-1.5337069398666778
347,-1.6858130606857331
348,-0.9190368135039351
349,-1.2052187024584053
350,-1.674606019064405
351,-1.9670418279694
352,-1.623016824442984
353,-1.319065987094034
354,-1.763810780615168
355,-1.9502582917758662
356,-1.349621166559999
357,-1.339549193456887
358,-0.913250408264928
359,-1.0326745894781522
360,-1.143151557091868
361,-1.0717341217143332
362,-1.828854172989922
363,-1.4015052241892303
364,-1.6592142184273004
365,-1.8139472487642274
366,-1.7341126448929323
367,-1.090951922244471
368,-1.6999977722492954
369,-1.6909302135120525
370,-0.8955125140337676
371,-0.7395461121853555
372,-0.8442191114545421
373,-1.9479351227841288
374,-2.214597170814444
375,-0.8949045991775867
376,-2.0993676383680957
377,-2.6266359478236385
378,-0.79449653344558
379,-1.9480764448668686
380,-1.0641104030167263
381,-0.878800493432253
382,-1.386622137190484
