date,time,air1,clotheswasher1,dishwasher1,dryg1,furnace1,grid,microwave1,oven1,refrigerator1,solar,demand,difference
2018-01-02,17:30:00,-0.002,0.001,0.001,0.0,0.01,0.997,0.003,0.006,0.035,-0.024,0.054000000000000006,0.9189999999999999
2018-01-02,17:45:00,-0.003,0.001,0.001,0.0,0.01,1.101,0.003,0.006,0.136,-0.018,0.15400000000000003,0.9289999999999999
2018-01-02,18:00:00,-0.002,0.0,0.002,0.001,0.01,0.799,0.003,0.006,0.134,-0.003,0.15400000000000003,0.642
2018-01-02,18:15:00,-0.002,0.0,0.002,0.002,0.123,0.586,0.003,0.006,0.03,-0.003,0.164,0.41899999999999993
2018-01-02,18:30:00,-0.002,0.0,0.001,0.002,0.126,0.562,0.003,0.006,0.003,-0.003,0.139,0.42000000000000004
2018-01-02,18:45:00,-0.002,0.0,0.002,0.002,0.138,0.651,0.003,0.005,0.086,-0.003,0.234,0.41400000000000003
2018-01-02,19:00:00,-0.003,0.0,0.002,0.002,0.141,0.71,0.003,0.005,0.13,-0.003,0.28,0.42699999999999994
2018-01-02,19:15:00,-0.002,0.0,0.002,0.002,0.242,0.68,0.003,0.005,0.036,-0.003,0.288,0.38900000000000007
2018-01-02,19:30:00,-0.003,0.0,0.001,0.002,0.26,0.938,0.259,0.005,0.004,-0.003,0.528,0.4069999999999999
2018-01-02,19:45:00,-0.002,0.0,0.006,0.002,0.135,0.549,0.003,0.006,0.003,-0.004,0.15300000000000002,0.392
2018-01-02,20:00:00,-0.003,0.0,0.002,0.002,0.327,0.846,0.003,0.005,0.121,-0.002,0.457,0.38699999999999996
2018-01-02,20:15:00,-0.004,0.0,0.003,0.002,0.565,1.036,0.003,0.004,0.077,-0.001,0.6499999999999999,0.38500000000000023
2018-01-02,20:30:00,-0.003,0.0,0.003,0.002,0.565,0.965,0.003,0.004,0.004,-0.002,0.578,0.385
2018-01-02,20:45:00,-0.004,0.0,0.003,0.002,0.564,1.03,0.003,0.004,0.004,-0.001,0.576,0.4530000000000002
2018-01-02,21:00:00,-0.004,0.0,0.003,0.002,0.563,1.069,0.003,0.004,0.049,-0.001,0.62,0.44800000000000006
2018-01-02,21:15:00,-0.004,0.0,0.003,0.002,0.448,1.037,0.003,0.004,0.134,-0.001,0.59,0.44600000000000006
2018-01-02,21:30:00,-0.003,0.0,0.002,0.002,0.269,0.776,0.003,0.005,0.045,-0.003,0.323,0.45
2018-01-02,21:45:00,-0.002,0.0,0.001,0.002,0.137,0.606,0.003,0.006,0.003,-0.003,0.15000000000000002,0.45299999999999996
2018-01-02,22:00:00,-0.002,0.0,0.002,0.002,0.176,0.745,0.003,0.005,0.003,-0.003,0.189,0.5529999999999999
2018-01-02,22:15:00,-0.002,0.001,0.001,0.001,0.135,0.833,0.003,0.006,0.083,-0.004,0.22800000000000004,0.601
2018-01-02,22:30:00,-0.002,0.001,0.001,0.0,0.151,0.827,0.003,0.006,0.129,-0.004,0.28900000000000003,0.5339999999999999
2018-01-02,22:45:00,-0.001,0.001,0.001,0.0,0.188,0.735,0.003,0.007,0.016,-0.005,0.215,0.515
2018-01-02,23:00:00,-0.002,0.001,0.001,0.0,0.276,0.696,0.003,0.007,0.003,-0.005,0.28900000000000003,0.4019999999999999
2018-01-02,23:15:00,-0.001,0.001,0.001,0.001,0.277,0.433,0.003,0.007,0.003,-0.005,0.29200000000000004,0.13599999999999995
2018-01-02,23:30:00,-0.002,0.001,0.001,0.001,0.234,0.488,0.003,0.006,0.108,-0.005,0.35200000000000004,0.13099999999999995
2018-01-02,23:45:00,-0.001,0.001,0.001,0.001,0.18,0.404,0.003,0.007,0.081,-0.005,0.273,0.126
2018-01-03,00:00:00,-0.002,0.001,0.003,0.001,0.534,0.671,0.003,0.006,0.004,-0.004,0.55,0.11699999999999999
2018-01-03,00:15:00,-0.002,0.001,0.003,0.001,0.571,0.705,0.003,0.006,0.004,-0.004,0.587,0.11399999999999999
2018-01-03,00:30:00,-0.002,0.001,0.003,0.001,0.57,0.725,0.003,0.006,0.027,-0.004,0.609,0.11199999999999999
2018-01-03,00:45:00,-0.003,0.001,0.003,0.001,0.563,0.824,0.003,0.005,0.133,-0.003,0.706,0.11499999999999999
2018-01-03,01:00:00,-0.002,0.001,0.002,0.001,0.417,0.634,0.003,0.006,0.082,-0.004,0.51,0.12
2018-01-03,01:15:00,-0.001,0.001,0.001,0.001,0.241,0.386,0.003,0.007,0.003,-0.005,0.256,0.125
2018-01-03,01:30:00,-0.001,0.001,0.001,0.001,0.244,0.389,0.003,0.007,0.003,-0.005,0.259,0.125
2018-01-03,01:45:00,-0.001,0.001,0.001,0.001,0.247,0.414,0.003,0.007,0.026,-0.005,0.28500000000000003,0.12399999999999994
2018-01-03,02:00:00,-0.002,0.001,0.001,0.001,0.269,0.538,0.003,0.006,0.129,-0.005,0.40800000000000003,0.125
2018-01-03,02:15:00,-0.001,0.001,0.001,0.001,0.292,0.455,0.003,0.007,0.024,-0.005,0.32799999999999996,0.12200000000000005
2018-01-03,02:30:00,-0.002,0.001,0.002,0.001,0.458,0.596,0.003,0.006,0.004,-0.004,0.47300000000000003,0.11899999999999994
2018-01-03,02:45:00,0.0,0.001,0.0,0.001,0.042,0.192,0.003,0.008,0.003,-0.006,0.05800000000000001,0.128
2018-01-03,03:00:00,-0.002,0.001,0.003,0.001,0.517,0.729,0.003,0.006,0.08,-0.004,0.609,0.11599999999999999
2018-01-03,03:15:00,-0.003,0.001,0.003,0.001,0.527,0.789,0.003,0.005,0.132,-0.003,0.669,0.11699999999999999
2018-01-03,03:30:00,-0.001,0.001,0.002,0.001,0.378,0.549,0.003,0.006,0.032,-0.004,0.422,0.12300000000000005
2018-01-03,03:45:00,-0.001,0.001,0.002,0.001,0.362,0.503,0.003,0.007,0.004,-0.005,0.379,0.119
2018-01-03,04:00:00,-0.001,0.001,0.001,0.001,0.287,0.43,0.003,0.007,0.004,-0.005,0.303,0.122
2018-01-03,04:15:00,-0.001,0.001,0.001,0.001,0.239,0.448,0.003,0.007,0.069,-0.005,0.32,0.123
2018-01-03,04:30:00,-0.002,0.001,0.002,0.001,0.4,0.63,0.003,0.006,0.097,-0.004,0.508,0.118
2018-01-03,04:45:00,-0.001,0.001,0.001,0.001,0.239,0.382,0.003,0.007,0.003,-0.005,0.254,0.123
2018-01-03,05:00:00,-0.002,0.001,0.003,0.001,0.563,0.696,0.003,0.006,0.004,-0.004,0.579,0.11299999999999999
2018-01-03,05:15:00,-0.001,0.001,0.002,0.001,0.44,0.578,0.003,0.006,0.004,-0.004,0.456,0.11799999999999994
2018-01-03,05:30:00,-0.002,0.001,0.002,0.001,0.345,0.606,0.003,0.006,0.127,-0.004,0.483,0.119
2018-01-03,05:45:00,-0.001,0.001,0.001,0.001,0.238,0.487,0.003,0.006,0.112,-0.004,0.361,0.122
2018-01-03,06:00:00,-0.001,0.001,0.001,0.001,0.241,0.386,0.003,0.007,0.003,-0.005,0.256,0.125
2018-01-03,06:15:00,-0.001,0.001,0.001,0.001,0.283,0.424,0.003,0.007,0.004,-0.005,0.299,0.12
2018-01-03,06:30:00,-0.002,0.001,0.002,0.001,0.44,0.577,0.003,0.006,0.004,-0.004,0.455,0.11799999999999994
2018-01-03,06:45:00,-0.001,0.001,0.001,0.001,0.156,0.405,0.003,0.006,0.11,-0.004,0.277,0.124
2018-01-03,07:00:00,-0.002,0.001,0.003,0.001,0.508,0.69,0.003,0.005,0.052,-0.003,0.5710000000000001,0.11599999999999988
2018-01-03,07:15:00,-0.002,0.001,0.002,0.001,0.459,0.588,0.003,0.006,0.004,-0.006,0.47400000000000003,0.10799999999999993
2018-01-03,07:30:00,-0.002,0.001,0.002,-0.001,0.447,0.996,0.003,0.006,0.007,0.029,0.463,0.5619999999999998
2018-01-03,07:45:00,-0.001,0.001,0.002,0.0,0.324,0.501,0.003,0.007,0.04,0.21,0.376,0.33499999999999996
2018-01-03,08:00:00,0.0,0.001,0.002,0.0,0.281,0.265,0.003,0.007,0.133,0.492,0.42700000000000005,0.32999999999999996
2018-01-03,08:15:00,0.001,0.001,0.001,0.0,0.261,-0.011,0.003,0.007,0.074,0.688,0.34800000000000003,0.3289999999999999
2018-01-03,08:30:00,0.001,0.001,0.001,0.001,0.244,-0.244,0.003,0.008,0.003,0.811,0.262,0.30500000000000005
2018-01-03,08:45:00,0.001,0.001,0.002,0.0,0.293,0.103,0.003,0.007,0.008,0.872,0.315,0.6599999999999999
2018-01-03,09:00:00,0.001,0.001,0.002,0.001,0.282,-0.385,0.003,0.007,0.035,0.996,0.33199999999999996,0.279
2018-01-03,09:15:00,0.001,0.0,0.002,0.001,0.266,-0.243,0.003,0.006,0.13,0.904,0.40900000000000003,0.252
2018-01-03,09:30:00,0.002,0.0,0.002,0.001,0.263,-0.473,0.003,0.007,0.02,1.002,0.29800000000000004,0.23099999999999998
2018-01-03,09:45:00,0.003,0.001,0.002,0.001,0.25,-0.758,0.003,0.008,0.003,1.241,0.271,0.21200000000000008
2018-01-03,10:00:00,0.003,0.001,0.002,0.001,0.251,-0.778,0.003,0.008,0.003,1.371,0.272,0.32099999999999995
2018-01-03,10:15:00,0.003,0.0,0.002,0.002,0.301,-0.793,0.003,0.007,0.089,1.469,0.40700000000000003,0.269
2018-01-03,10:30:00,0.003,0.0,0.002,0.002,0.233,-0.885,0.003,0.007,0.131,1.565,0.381,0.29899999999999993
2018-01-03,10:45:00,0.005,0.0,0.002,0.002,0.267,-1.225,0.003,0.008,0.024,1.806,0.31100000000000005,0.2699999999999999
